"UID","Xsugg","Ysugg","Type","Unit","Walker","Pass_Grid","Section","ObjNo","Object","Material","MaxSize","Comments","MN-LN","FN-EB1","EB2","FMin","FPal","SPal","TPal","PPal-PG","Geometric","Archaic","Class","Hell","ERom","MRom","LRom","EByz","MByz","EVen","MVen","LVen","Recent","Other","TOTAL"
"8051-14-1-35-O1",709132.70,3970897.40,"tract","8051",14,"1","35",1,"vessel","glass",3.50,"light purple (solarised?); faceted bottle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8052-27-1-65-O1",709066.10,3970826.10,"tract","8052",27,"1","65",1,"vessel","glass",2.00,"olive green",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8058-20-1-5-O1",709178.50,3970746.00,"tract","8058",20,"1","5",1,"coin","copper alloy",2.00,"2 lepta; pierced for suspension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100
"8071-27-1-15-O1",708851.20,3971559.20,"tract","8071",27,"1","15",1,"vessel","glass",1.60,"light green rim fragment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,100,100
"8071-36-1-65-O1",708837.20,3971603.70,"tract","8071",36,"1","65",1,"bead","glass",7.00,"blue with white incised lines (probably meant to imitate cut stone?)",0,0,0,0,0,0,0,0,0,0,0,0,20,20,30,10,10,10,0,0,0,100,100
"8090-36-1-55-O1",709281.80,3971066.10,"tract","8090",36,"1","55",1,"lump","slag",3.70,"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8102-20-1-45-O1",709349.10,3971665.40,"tract","8102",20,"1","45",1,"cartridge","copper alloy",3.20,"pinched and pierced",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100
"8124-27-1-25-O1",709333.00,3970952.40,"tract","8124",27,"1","25",1,"vessel","glass",1.60,"clear",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8130-27-1-65-O1",706580.20,3973111.00,"tract","8130",27,"1","65",1,"lump","slag",4.10,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8132-29-1-25-O1",706543.60,3973106.10,"tract","8132",29,"1","25",1,"cartridge","copper alloy",3.70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100
"8136-29-1-35-O1",706482.80,3973292.00,"tract","8136",29,"1","35",1,"lump","slag",4.20,"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8143-14-1-25-O1",706577.50,3973361.50,"tract","8143",14,"1","25",1,"gunstock?","iron",28.50,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100
"8181-28-1-35-O1",709371.30,3971023.50,"tract","8181",28,"1","35",1,"lump","slag",5.00,"35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"8192-29-1-15-O1",709420.70,3971014.10,"tract","8192",29,"1","15",1,"lump","slag",2.80,"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
