"SID","Xsugg","Ysugg","Type","Comments","LocErr"
302,708245,3971374.8,"threshing floor",,10
303,708491.4,3971296.7,"threshing floor",,10
304,708515.8,3971375.5,"threshing floor",,10
305,709356.1,3971036.4,"threshing floor",,10
306,708056.9,3970792.5,"threshing floor",,10
307,708022.5,3970828.1,"threshing floor",,10
308,708195.4,3970574.1,"threshing floor",,10
309,708174.8,3970505.1,"threshing floor",,10
310,708237.1,3970587.3,"threshing floor",,10
311,707395.3,3973726.6,"threshing floor",,10
312,707933.7,3972518.6,"threshing floor",,10
313,709412.8,3970984.2,"threshing floor",,10
314,706416.7,3973325,"threshing floor",,10
315,706516.3,3973349.9,"threshing floor",,10
316,709234.4,3970320,"threshing floor",,10
317,710168.8,3967932.9,"threshing floor",,10
318,707932.4,3972459.1,"threshing floor",,10
319,706485.9,3973513.4,"threshing floor",,10
320,707930.2,3970785,"threshing floor",,10
321,708081.2,3970768.6,"threshing floor",,10
322,708130.1,3971345.6,"threshing floor",,10
323,707760.6,3971774.9,"threshing floor",,10
324,707683.9,3972406.8,"threshing floor",,10
325,707357.8,3973822.6,"threshing floor",,10
326,708715.4,3973430.8,"threshing floor",,10
327,706046.2,3973021.3,"shelter",,10
328,705471.9,3974407.8,"shelter",,10
329,709282.8,3971780.8,"shelter",,10
330,708704.3,3972934.4,"shelter",,10
331,708811.7,3972539.2,"shelter",,10
332,708603.9,3972842.2,"shelter",,10
333,708574.9,3972936.6,"shelter",,10
334,706343.5,3971706.7,"shelter",,10
335,705936,3972289.4,"shelter",,10
336,708525.9,3971512.8,"shelter",,10
337,707291,3973877.4,"shelter",,10
338,707157,3973801.3,"shelter",,10
339,708231.6,3971885.5,"shelter",,10
340,708855.6,3971447,"shelter",,10
341,708846.4,3971163.2,"shelter",,10
342,708685.7,3971513.3,"shelter",,10
343,708700.5,3971359.9,"shelter",,10
344,709146.4,3969446,"shelter",,10
345,708965.8,3969594.9,"shelter",,10
346,709023.3,3969834.9,"shelter",,10
347,706756.4,3971719.9,"shelter",,10
348,708135.8,3970770.5,"shelter",,10
349,708362.3,3970134.4,"shelter",,10
350,708455.5,3969985.2,"windmill",,10
351,709127.2,3970413,"shelter",,10
352,707273.2,3973817,"shelter",,10
353,707901.1,3971699.9,"shelter",,10
354,707322,3971983.2,"shelter",,10
355,706855.9,3971467.1,"shelter",,10
356,707763,3971111.8,"shelter",,10
357,707594.6,3971103.6,"shelter",,10
358,707597.4,3971208.4,"shelter",,10
359,707894.8,3971426.5,"shelter",,10
360,707613.9,3970876.2,"shelter",,10
361,707610.6,3969876.6,"shelter",,10
362,708263.5,3970069.6,"shelter",,10
363,706518.2,3973513.6,"shelter",,10
364,705879.6,3972852.9,"shelter",,10
365,706193.3,3973757.4,"shelter",,10
366,706111.9,3973768.4,"shelter",,10
367,706113.6,3973363.3,"shelter",,10
368,705167.2,3975360,"shelter",,10
369,705465.5,3974866.1,"shelter",,10
370,709335.9,3971435.6,"shelter",,10
371,708714,3972178.1,"shelter",,10
372,708708.3,3972248.4,"shelter",,10
373,708548.3,3973745.6,"shelter",,10
374,708732.8,3972504,"shelter",,10
375,708299.3,3972695.7,"shelter",,10
376,708375.7,3972753.1,"shelter",,10
377,708187.8,3972880.8,"shelter",,10
378,708378.3,3973014.2,"shelter",,10
379,709058.6,3973136.6,"shelter",,10
380,707087.8,3972728.5,"shelter",,10
381,706962,3973005.1,"shelter",,10
382,707163.8,3972977.9,"shelter",,10
383,706440.9,3972354.8,"shelter",,10
384,706622.1,3972314.9,"shelter",,10
385,706533.7,3972427.3,"shelter",,10
386,706560.9,3972141.3,"shelter",,10
387,706495.3,3971939.4,"shelter",,10
388,707157.7,3973990.8,"shelter",,10
389,706497.4,3972905,"shelter",,10
390,706169.6,3972605.3,"shelter",,10
391,706206.9,3972588.3,"shelter",,10
392,706732.1,3972476.9,"shelter",,10
393,709090.9,3971903.4,"shelter",,10
394,708530.9,3970212.4,"shelter",,10
395,709001.1,3971584.2,"shelter",,10
396,708152.9,3970854.2,"shelter",,10
397,709350.6,3969899.2,"shelter",,10
398,709158.3,3970319.7,"shelter",,10
399,707322.1,3973563.9,"shelter",,10
400,707986.9,3972158.9,"shelter",,10
401,707881.4,3971947,"shelter",,10
402,707505.1,3972309.3,"shelter",,10
403,709520.9,3970903.4,"shelter",,10
404,708888.4,3969153.3,"shelter",,10
405,708736.3,3969090.8,"shelter",,10
406,708622.2,3969182.3,"shelter",,10
407,708541.9,3969135.8,"shelter",,10
408,706535,3973358.2,"shelter",,10
409,706621.6,3973376.1,"shelter",,10
410,707211.3,3971778.1,"shelter",,10
411,707159.2,3972139.1,"shelter",,10
412,707434.1,3971522,"shelter",,10
413,709291.9,3969318.1,"shelter",,10
414,709397.4,3969468.8,"shelter",,10
415,709688,3969883.1,"shelter",,10
416,709763.3,3969711.6,"shelter",,10
417,709763.3,3969614.5,"shelter",,10
418,709987.6,3969048.4,"shelter",,10
419,710131.8,3969505.3,"shelter",,10
420,709345.6,3968920.2,"shelter",,10
421,709368.2,3968494.7,"shelter",,10
422,709422.7,3968641,"shelter",,10
423,709201.8,3968868.5,"shelter",,10
424,710117.3,3967284.9,"shelter",,10
425,708017.7,3969110.6,"shelter",,10
426,708032.7,3969750.8,"shelter",,10
427,708039.7,3969635.8,"shelter",,10
428,707670.5,3972747.2,"shelter",,10
429,707760.6,3973958.9,"shelter",,10
430,707734.6,3973071.3,"shelter",,10
431,707901.2,3973145.4,"shelter",,10
432,707962.6,3973141.3,"shelter",,10
433,707368.6,3972884.1,"shelter",,10
434,709486.2,3971296.9,"shelter",,10
435,709283.5,3969453.7,"shelter",,10
436,708936.6,3969836.6,"shelter",,10
437,708951.5,3969759.9,"shelter",,10
438,709237.6,3970163.4,"shelter",,10
439,707329.6,3971583.6,"shelter",,10
440,709788.3,3968689.4,"shelter",,10
441,709720.4,3968790.1,"shelter",,10
442,708788.5,3970655.6,"shelter",,10
443,708676.8,3970562.1,"shelter",,10
444,707548.4,3971769.9,"shelter",,10
445,707650.6,3971626.9,"shelter",,10
446,707619.3,3971469.6,"shelter",,10
447,709251,3971941,"shelter",,10
448,707784.3,3973644.3,"shelter",,10
449,705928.1,3974285.4,"shelter",,10
450,709708,3968083.7,"shelter",,10
